Rank,FeatureClass,FeatureName,Feature,DiscriminationScore,Corona1_ComparisonScore,Corona2_ComparisonScore,Corona3_ComparisonScore,Corona4_ComparisonScore,MeanComparisonScore,ComparisonTrend,MonotonicIncreaseRatio,MeanAbsCohensD,MeanFisherScore,MeanWassersteinDistance,MeanBhattacharyyaDistance,MeanKSStatistic,MeanHistogramOverlapCoefficient
1,firstorder,10Percentile,firstorder.10Percentile,0.7671191077441077,0.9362373737373737,0.9442340067340066,0.951388888888889,0.9610690235690235,0.9482323232323232,0.02483164983164976,1.0,2.6725584218650873,4.316862045550783,6089.959926899034,15.220102707825205,1.0,0.013080168776371309
2,firstorder,Minimum,firstorder.Minimum,0.7642781986531987,0.9324494949494949,0.9396043771043772,0.9526515151515151,0.9547558922558923,0.9448653198653199,0.022306397306397385,1.0,2.577713586777662,4.009100924617927,5684.409075189213,15.211053069356442,1.0,0.008636806231742941
3,firstorder,Median,firstorder.Median,0.7630366161616161,0.9170875420875421,0.946127946127946,0.9532828282828283,0.960858585858586,0.9443392255892256,0.043771043771043905,1.0,2.73886339839389,4.529362802945986,7042.129587411015,2.2486716241366613,0.9753207003668253,0.06623427672955975
4,firstorder,Energy,firstorder.Energy,0.7621212121212121,0.9238215488215488,0.9385521885521886,0.9469696969696971,0.9558080808080809,0.9412878787878789,0.03198653198653212,1.0,1.7518880290185872,1.881040037543116,845695015.7588706,0.9254274311721291,0.8570312911453645,0.15321868895176155
5,firstorder,TotalEnergy,firstorder.TotalEnergy,0.7621212121212121,0.9238215488215488,0.9385521885521886,0.9469696969696971,0.9558080808080809,0.9412878787878789,0.03198653198653212,1.0,1.7518880290185872,1.881040037543116,845695015.7588706,0.9254274311721291,0.8570312911453645,0.15321868895176155
6,firstorder,Mean,firstorder.Mean,0.7599010942760943,0.9154040404040406,0.9368686868686869,0.9473905723905723,0.95496632996633,0.9386574074074074,0.039562289562289465,1.0,2.7169431418319996,4.444211783679729,6787.8007446819565,2.0051259505650902,0.9489775970188556,0.09369574935851507
7,firstorder,RootMeanSquared,firstorder.RootMeanSquared,0.7543244949494949,0.9015151515151515,0.9292929292929294,0.9423400673400674,0.9494949494949495,0.9306607744107744,0.04797979797979801,1.0,2.637781574343446,4.161025245762271,6700.200733174739,1.6210275341282823,0.9107990161856295,0.11783338079403281
8,firstorder,90Percentile,firstorder.90Percentile,0.746233164983165,0.8863636363636364,0.9154040404040403,0.9292929292929294,0.9398148148148149,0.9177188552188552,0.05345117845117853,1.0,2.3919349504973546,3.332755530453696,7266.996831221213,0.9977520201793373,0.8237375607037656,0.1950644355544941
9,firstorder,Maximum,firstorder.Maximum,0.7382786195286195,0.8737373737373737,0.9044612794612794,0.9183501683501684,0.9271885521885522,0.9059343434343434,0.05345117845117853,1.0,2.2461965430375668,2.8903177000168148,7313.694574552759,0.8290480269606064,0.7845082344313595,0.26522667459719645
10,glrlm,LongRunHighGrayLevelEmphasis,glrlm.LongRunHighGrayLevelEmphasis,0.6820233585858586,0.7647306397306397,0.8017676767676768,0.8287037037037036,0.8642676767676766,0.8148674242424242,0.09953703703703687,1.0,1.1056809243489991,0.7430423996984707,54576.010889113706,0.3301475770372959,0.5491826502054589,0.4686976248216396
11,glcm,Autocorrelation,glcm.Autocorrelation,0.6814499158249158,0.7744107744107743,0.8118686868686869,0.8228114478114478,0.853114478114478,0.8155513468013468,0.07870370370370372,1.0,1.079294056939792,0.7113512304478666,53040.76564908093,0.36995258424799027,0.5598814094909151,0.4536505545246888
12,gldm,LargeDependenceHighGrayLevelEmphasis,gldm.LargeDependenceHighGrayLevelEmphasis,0.6796980218855218,0.7638888888888888,0.7984006734006733,0.8282828282828283,0.85753367003367,0.8120265151515151,0.09364478114478114,1.0,1.094277450725188,0.7286207128310095,57605.715195376775,0.3360340689734015,0.5491826502054589,0.4718320786867778
13,gldm,HighGrayLevelEmphasis,gldm.HighGrayLevelEmphasis,0.6796296296296296,0.7584175084175083,0.797979797979798,0.8272306397306397,0.8621632996632997,0.8114478114478114,0.10374579124579142,1.0,1.1035653885086338,0.7401087433367641,54087.97570850625,0.32961991761807996,0.5476103231614338,0.47390595815497294
14,glszm,LargeAreaHighGrayLevelEmphasis,glszm.LargeAreaHighGrayLevelEmphasis,0.6793034511784513,0.7634680134680135,0.8030303030303031,0.8265993265993266,0.8556397306397306,0.8121843434343434,0.09217171717171713,1.0,1.1036622431145509,0.740711505946644,56039.44422763937,0.33393426966175355,0.5491826502054589,0.46949349099471505
15,glrlm,HighGrayLevelRunEmphasis,glrlm.HighGrayLevelRunEmphasis,0.6785458754208754,0.757154882154882,0.7967171717171717,0.8255471380471381,0.8600589225589226,0.8098695286195285,0.10290404040404055,1.0,1.1029507880004796,0.739292820458789,54081.04253275366,0.3294609703818731,0.5476103231614338,0.47390595815497294
16,glrlm,ShortRunHighGrayLevelEmphasis,glrlm.ShortRunHighGrayLevelEmphasis,0.6763731060606061,0.7542087542087542,0.7920875420875421,0.8223905723905726,0.8566919191919192,0.806344696969697,0.10248316498316501,1.0,1.1020374597622433,0.7380508307963721,53957.30044366364,0.3289317779179211,0.5467345967065337,0.47469212167698555
17,glszm,HighGrayLevelZoneEmphasis,glszm.HighGrayLevelZoneEmphasis,0.675920664983165,0.7537878787878789,0.7908249158249158,0.8219696969696971,0.8558501683501684,0.805608164983165,0.10206228956228947,1.0,1.101028868931313,0.7367434167152237,54060.19470879256,0.3287611294850757,0.5460379961174087,0.47469212167698555
18,gldm,SmallDependenceHighGrayLevelEmphasis,gldm.SmallDependenceHighGrayLevelEmphasis,0.6755471380471381,0.7552609427609428,0.7838804713804715,0.8133417508417509,0.85753367003367,0.8025042087542088,0.10227272727272718,1.0,1.0950431510044778,0.7286222263914305,53208.436135933924,0.3295269656358656,0.5444656690733835,0.47155043771012845
19,glszm,SmallAreaHighGrayLevelEmphasis,glszm.SmallAreaHighGrayLevelEmphasis,0.6753472222222222,0.7506313131313131,0.7864057239057239,0.8158670033670035,0.8592171717171717,0.8030303030303031,0.10858585858585856,1.0,1.0968003616007493,0.731031332176187,53565.23425215778,0.327869428606674,0.5447408263060878,0.4731028618801786
20,glcm,SumAverage,glcm.SumAverage,0.6729955808080808,0.7624158249158249,0.8053451178451178,0.8089225589225589,0.8377525252525252,0.8036090067340067,0.07533670033670026,1.0,1.1873912654738947,0.8570798613016489,250.368770217939,0.444705795204307,0.5735990290459481,0.39727323737086095
21,glcm,JointAverage,glcm.JointAverage,0.6707018097643097,0.7594696969696969,0.80239898989899,0.8055555555555555,0.8335437710437711,0.8002420033670034,0.07407407407407418,1.0,1.187391265473895,0.8570798613016489,125.18438510896951,0.44470579520430686,0.5735990290459481,0.39727323737086095
22,glcm,ClusterShade,glcm.ClusterShade,0.5697916666666666,0.5681818181818181,0.6649831649831649,0.686026936026936,0.6931818181818182,0.6530934343434343,0.1250000000000001,1.0,0.39225051443937936,0.08727258496381682,361779.5599327757,0.2746622704646868,0.36877059947456414,0.562888132834843
23,firstorder,Variance,firstorder.Variance,0.5284090909090909,0.464436026936027,0.5296717171717172,0.6062710437710438,0.6862373737373737,0.5716540404040404,0.22180134680134672,1.0,0.4668429507723246,0.13234691483544025,1562895.622344407,0.09636117779151149,0.2838181749983159,0.7171678172058815
24,ngtdm,Complexity,ngtdm.Complexity,0.5248000841750842,0.4246632996632997,0.5416666666666666,0.6199494949494949,0.6986531986531985,0.571233164983165,0.27398989898989884,1.0,0.5159153844166464,0.16122700528447953,19979.631532336774,0.10463729364460131,0.3130238206781675,0.6962153154146228
25,firstorder,Range,firstorder.Range,0.5239583333333333,0.4537037037037037,0.5176767676767677,0.6026936026936027,0.6830808080808081,0.5642887205387206,0.22937710437710435,1.0,0.6524093713064434,0.24563063852848205,1630.2041375760614,0.09863178274088871,0.30505407075012403,0.7084394883736596
26,ngtdm,Contrast,ngtdm.Contrast,0.5197706228956228,0.4524410774410774,0.5029461279461279,0.6132154882154882,0.67003367003367,0.5596590909090908,0.21759259259259256,1.0,0.3207075499729768,0.06733922703340683,13957.003033067253,0.14833251613101522,0.31543731207094,0.6638640205030222
27,glcm,DifferenceAverage,glcm.DifferenceAverage,0.5153198653198653,0.37542087542087543,0.4646464646464647,0.6241582491582491,0.7243265993265994,0.5471380471380471,0.34890572390572394,1.0,0.6416642341390835,0.27985754694266507,23.278867903413392,0.12244675225809956,0.31174543994537424,0.6894871488673734
28,glcm,Idn,glcm.Idn,0.5146569865319865,0.21464646464646464,0.5791245791245792,0.7285353535353535,0.7937710437710438,0.5790193602693603,0.5791245791245792,1.0,0.9013591962229259,0.5809266089660653,0.036165752103712125,0.21105867020026656,0.39243007967273547,0.6030119861231039
29,glcm,Contrast,glcm.Contrast,0.5108480639730638,0.35016835016835013,0.48358585858585856,0.6275252525252526,0.7226430976430974,0.5459806397306397,0.3724747474747473,1.0,0.4876392806717596,0.16104187722923718,4730.593720540652,0.12016765394281473,0.29763064705774284,0.7028802597171955
30,glcm,DifferenceVariance,glcm.DifferenceVariance,0.5059764309764309,0.6085858585858586,0.5568181818181818,0.6014309764309764,0.6624579124579124,0.6073232323232323,0.05387205387205385,0.6666666666666666,0.5432664021546394,0.17308500125961604,703.2720827716065,0.160613301120195,0.3864611159082141,0.6239802303221815
31,glcm,Idmn,glcm.Idmn,0.5034827441077441,0.2537878787878788,0.569023569023569,0.6759259259259259,0.7382154882154883,0.5592382154882155,0.48442760942760954,1.0,0.6942164326565798,0.3201451175161766,0.013982723685221453,0.20250286613053675,0.39894220817793785,0.6046310810934945
32,glszm,GrayLevelVariance,glszm.GrayLevelVariance,0.5016940235690235,0.4059343434343434,0.4930555555555556,0.5694444444444445,0.6569865319865319,0.5313552188552189,0.25105218855218847,1.0,0.4675553750543494,0.13271835394234505,2501.5329485353705,0.09286390974524233,0.2849501968853533,0.7187431143710998
33,glrlm,GrayLevelVariance,glrlm.GrayLevelVariance,0.4995054713804714,0.40425084175084175,0.489057239057239,0.5686026936026937,0.6517255892255892,0.5284090909090909,0.24747474747474746,1.0,0.46694575800997806,0.1324130975522187,2498.528917772006,0.09181911847597637,0.28488246587422605,0.7203154414151249
34,gldm,GrayLevelVariance,gldm.GrayLevelVariance,0.49863741582491583,0.4031986531986533,0.48695286195286186,0.5669191919191919,0.650462962962963,0.5268834175084175,0.24726430976430974,1.0,0.4667326606467085,0.1323060765383095,2497.5256255412096,0.09166302891225973,0.28564872652226364,0.7211016049371375
35,firstorder,StandardDeviation,firstorder.StandardDeviation,0.4980587121212121,0.3609006734006734,0.49242424242424243,0.5864898989898991,0.6761363636363636,0.5289877946127947,0.31523569023569026,1.0,0.5896727858496683,0.2175514990197964,478.37029735946226,0.08746460955387529,0.2838181749983159,0.7184741729590368
36,ngtdm,Coarseness,ngtdm.Coarseness,0.4953808922558922,0.33670033670033667,0.36447811447811446,0.627104377104377,0.7100168350168349,0.5095749158249158,0.3733164983164982,1.0,0.6090135575468075,0.2500460134630668,0.017006298222852257,0.1557193986417165,0.34462460117702537,0.6310469409282701
37,glcm,SumSquares,glcm.SumSquares,0.49402356902356903,0.3602693602693603,0.48484848484848486,0.5845959595959596,0.6645622895622896,0.5235690235690236,0.3042929292929293,1.0,0.47258858046306895,0.14242957940599488,2176.588268505022,0.09618323621412103,0.2844094166620737,0.7237390610742653
38,firstorder,RobustMeanAbsoluteDeviation,firstorder.RobustMeanAbsoluteDeviation,0.48444865319865316,0.37794612794612786,0.41245791245791247,0.5534511784511784,0.6435185185185185,0.4968434343434343,0.2655723905723906,1.0,0.5205016330410382,0.17366253732871856,282.69943766778437,0.07822646609674377,0.2626294643677316,0.7480432527726235
39,firstorder,MeanAbsoluteDeviation,firstorder.MeanAbsoluteDeviation,0.47737794612794604,0.2992424242424242,0.433922558922559,0.5765993265993266,0.67003367003367,0.4949494949494949,0.3707912457912458,1.0,0.5508800549402483,0.2030359802538364,383.1733198390731,0.08375720961360653,0.2712635530916818,0.7591699850881544
40,firstorder,InterquartileRange,firstorder.InterquartileRange,0.47707281144781144,0.3531144781144781,0.4170875420875421,0.5265151515151515,0.6430976430976431,0.4849537037037037,0.28998316498316495,1.0,0.4447478344380068,0.13740283447673046,614.4519332150603,0.07547856062296478,0.24790192705749786,0.7425566313314105
41,glcm,ClusterProminence,glcm.ClusterProminence,0.47483164983164977,0.5660774410774411,0.5092592592592593,0.5572390572390572,0.609006734006734,0.5603956228956228,0.04292929292929293,0.6666666666666666,0.3116605886434437,0.05725664228071177,301619916.3261266,0.11978308541606277,0.29515467977806764,0.7145413956813825
42,glcm,ClusterTendency,glcm.ClusterTendency,0.4727062289562289,0.5416666666666666,0.4739057239057239,0.5526094276094277,0.6321548821548821,0.5500841750841751,0.0904882154882155,0.6666666666666666,0.4804214885576778,0.131591742528273,4856.468453163255,0.09066337176105743,0.2866502123483554,0.7222106466596854
43,glcm,Imc1,glcm.Imc1,0.4721170033670033,0.781986531986532,0.5202020202020202,0.27230639730639733,0.40446127946127947,0.49473905723905726,-0.37752525252525254,0.3333333333333333,0.4737586151163089,0.20021454325267407,0.021360896930163627,0.19092588326171517,0.3253644254499581,0.5964911080083041
44,firstorder,Skewness,firstorder.Skewness,0.4613215488215488,0.5033670033670034,0.5732323232323232,0.617003367003367,0.5774410774410775,0.5677609427609428,0.07407407407407418,0.6666666666666666,0.6761165471070013,0.2570642527720867,0.35577846399720886,0.1081881091791283,0.3320634457692614,0.6753408099244915
45,ngtdm,Strength,ngtdm.Strength,0.4565340909090908,0.569023569023569,0.44612794612794615,0.48947811447811446,0.5757575757575757,0.5200968013468013,0.006734006734006703,0.6666666666666666,0.5319453553428735,0.16416364358793872,115.59959842213654,0.07817118955507465,0.26793590355985863,0.7450648986790616
46,glcm,JointEntropy,glcm.JointEntropy,0.45593960437710435,0.8476430976430976,0.594486531986532,0.3930976430976431,0.2882996632996633,0.530881734006734,-0.5593434343434344,0.0,0.649781477869948,0.4160800446889057,0.3080173483491834,0.15806068883826382,0.35391615837788515,0.6183827383905005
47,glcm,SumEntropy,glcm.SumEntropy,0.45496632996633,0.8493265993265994,0.5963804713804715,0.38552188552188554,0.27146464646464646,0.5256734006734007,-0.5778619528619529,0.0,0.6390350748770188,0.4044170231793736,0.3088580530502374,0.15735756078432608,0.3573447116532858,0.6203145572682234
48,glrlm,RunLengthNonUniformity,glrlm.RunLengthNonUniformity,0.4542613636363636,0.8478535353535354,0.5755471380471381,0.3914141414141414,0.28535353535353536,0.5250420875420876,-0.5625,0.0,0.6791451824397012,0.45246159079778875,0.9173587034215337,0.1398869043093915,0.34778347816501626,0.6496463986515038
49,glszm,SizeZoneNonUniformity,glszm.SizeZoneNonUniformity,0.452667297979798,0.837121212121212,0.5561868686868686,0.3907828282828283,0.34490740740740744,0.5322495791245792,-0.4922138047138046,0.0,0.6644438514546936,0.39284961416710923,0.953930021285504,0.14262511092327615,0.3228620677248872,0.6583419451538033
50,glcm,DifferenceEntropy,glcm.DifferenceEntropy,0.4521832912457913,0.8394360269360271,0.5833333333333334,0.40488215488215484,0.2840909090909091,0.5279356060606061,-0.5553451178451181,0.0,0.6724530308268583,0.4157837941736927,0.31709566983458265,0.1392834597639628,0.3701183570330633,0.6328767307845407
51,glcm,Imc2,glcm.Imc2,0.44862163299663294,0.7432659932659932,0.4501262626262626,0.317550505050505,0.3354377104377104,0.4615951178451178,-0.40782828282828276,0.3333333333333333,0.51842734472235,0.16032855333999133,0.005177076262449317,0.1593803181383325,0.34185176722210997,0.666218365912807
