Rank,FeatureClass,FeatureName,Feature,ROI0_StabilityScore,ROI0_NumberOfVoxels,ROI0_Mean,ROI0_Median,ROI0_Variance,ROI0_StandardDeviation,ROI0_CoefficientOfVariation,ROI0_MAD,ROI0_IQR,ROI0_Minimum,ROI0_Maximum,ROI0_P05,ROI0_P95
1,glcm,Dissimilarity,glcm.Dissimilarity,0.9232323232323232,318,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,glcm,Homogeneity1,glcm.Homogeneity1,0.9232323232323232,318,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
3,glcm,Homogeneity2,glcm.Homogeneity2,0.9232323232323232,318,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
4,glcm,SumVariance,glcm.SumVariance,0.9232323232323232,318,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
5,gldm,DependencePercentage,gldm.DependencePercentage,0.9232323232323232,318,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
6,gldm,GrayLevelNonUniformityNormalized,gldm.GrayLevelNonUniformityNormalized,0.9232323232323232,318,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
7,glrlm,ShortRunEmphasis,glrlm.ShortRunEmphasis,0.9069403714565004,318,0.9988102257412399,1.0,2.6836188067321514e-05,0.00518036563065982,0.005186536438206118,0.0,0.0,0.9732142857142857,1.0,0.9964843750000001,1.0
8,glrlm,RunPercentage,glrlm.RunPercentage,0.8967090257412839,318,0.998591457023061,1.0,3.760166151099916e-05,0.006132019366489245,0.00614066876234816,0.0,0.0,0.96875,1.0,0.9958333333333333,1.0
9,glrlm,RunLengthNonUniformityNormalized,glrlm.RunLengthNonUniformityNormalized,0.8843271423916585,318,0.9972278711012708,1.0,0.0001456326303779445,0.01206783453557201,0.01210138112390011,0.0,0.0,0.9387755102040816,1.0,0.9917968750000001,1.0
10,glszm,SmallAreaEmphasis,glszm.SmallAreaEmphasis,0.8719452590420331,318,0.9952409029649595,1.0,0.0004293790090771444,0.020721462522639282,0.020820549538214512,0.0,0.0,0.8928571428571429,1.0,0.9859375000000001,1.0
11,glrlm,LongRunEmphasis,glrlm.LongRunEmphasis,0.8700553926360378,318,1.0047590970350406,1.0,0.00042937900907714455,0.02072146252263929,0.02062331416932335,0.0,0.0,1.0,1.1071428571428572,1.0,1.0140624999999979
12,glszm,ZonePercentage,glszm.ZonePercentage,0.8536331052460084,318,0.9943658280922432,1.0,0.0006016265841759864,0.024528077465956977,0.024667055899352173,0.0,0.0,0.875,1.0,0.9833333333333335,1.0
13,glcm,Imc2,glcm.Imc2,0.8097100032583905,318,0.9932472210959365,0.9968893916519955,6.9205903428999e-05,0.008319008560459534,0.008375566912012545,1.1102230246251565e-16,0.004501134457742473,0.9298734950321936,0.9968893916519956,0.9751577360811288,0.9968893916519956
14,gldm,SmallDependenceEmphasis,gldm.SmallDependenceEmphasis,0.7887259693711306,318,0.9915487421383647,1.0,0.0013536598143959679,0.036792116198935444,0.03710570608923361,0.0,0.0,0.8125,1.0,0.9750000000000002,1.0
15,glszm,SizeZoneNonUniformityNormalized,glszm.SizeZoneNonUniformityNormalized,0.7642228739002933,318,0.9889114844050828,1.0,0.0023301220860471126,0.048271338142288046,0.048812597389671836,0.0,0.0,0.7551020408163265,1.0,0.9671875000000003,1.0
16,glszm,GrayLevelNonUniformity,glszm.GrayLevelNonUniformity,0.7580319322254805,318,1.01005291005291,1.0,0.0027331508994920947,0.05227954570854738,0.05175921497598457,0.0,0.0,1.0,1.4,1.0,1.0
17,glrlm,GrayLevelNonUniformity,glrlm.GrayLevelNonUniformity,0.7375692407950473,318,1.0184386542877109,1.0,0.0041282665517266195,0.06425158793155714,0.06308832413327267,0.0,0.0,1.0,1.4,1.0,1.1666666666666667
18,glrlm,RunVariance,glrlm.RunVariance,0.7319322254806127,318,0.0013860644493646516,0.0,3.6408157594486134e-05,0.006033917267786006,4.353273233832562,0.0,0.0,0.0,0.030612244897959183,0.0,0.004101562499999378
19,gldm,GrayLevelNonUniformity,gldm.GrayLevelNonUniformity,0.7313782991202346,318,1.0212339023659778,1.0,0.005186295660303729,0.07201594032090207,0.07051855618390335,0.0,0.0,1.0,1.4444444444444444,1.0,1.2222222222222223
20,gldm,DependenceNonUniformityNormalized,gldm.DependenceNonUniformityNormalized,0.725187357445422,318,0.9825151409270905,1.0,0.005791216527640442,0.0761000428885585,0.07745432077184208,0.0,0.0,0.625,1.0,0.9481481481481486,1.0
21,glcm,Idmn,glcm.Idmn,0.7242098403388725,318,0.9762695622694108,0.9835185512140114,0.000660736435237407,0.02570479401274025,0.02632960711485008,0.010049907074529574,0.021602140959274707,0.843581489311372,0.9992470920330936,0.928340213907189,0.9972893881513517
22,glszm,LargeAreaEmphasis,glszm.LargeAreaEmphasis,0.7189964157706094,318,1.0190363881401618,1.0,0.00687006414523431,0.08288585009055713,0.08133747828360838,0.0,0.0,1.0,1.4285714285714286,1.0,1.0562499999999915
23,gldm,LargeDependenceEmphasis,gldm.LargeDependenceEmphasis,0.7042033235581623,318,1.0338050314465408,1.0,0.021658557030335493,0.1471684647957418,0.14235611195451223,0.0,0.0,1.0,1.75,1.0,1.0999999999999848
24,glszm,ZoneVariance,glszm.ZoneVariance,0.6996089931573802,318,0.0055442577974586064,0.0,0.0005825305215117781,0.024135669071144023,4.353273233832562,0.0,0.0,0.0,0.12244897959183673,0.0,0.016406249999997513
25,glszm,GrayLevelNonUniformityNormalized,glszm.GrayLevelNonUniformityNormalized,0.694949494949495,318,0.12944889719223351,0.1111111111111111,0.0010041768216093201,0.031688749132922876,0.24479736653039708,0.0,0.024691358024691357,0.1111111111111111,0.28,0.1111111111111111,0.2
26,glrlm,GrayLevelNonUniformityNormalized,glrlm.GrayLevelNonUniformityNormalized,0.6930596285434995,318,0.12984717844743304,0.1111111111111111,0.0010054710558509133,0.03170916359431313,0.24420371681122188,0.0,0.024691358024691357,0.1111111111111111,0.28,0.1111111111111111,0.2
27,firstorder,Uniformity,firstorder.Uniformity,0.691169762137504,318,0.12997993886583284,0.1111111111111111,0.001007275817241941,0.031737608877197114,0.24417313282442094,0.0,0.024691358024691357,0.1111111111111111,0.28,0.1111111111111111,0.20000000000000004
28,glcm,Imc1,glcm.Imc1,0.689605734767025,318,-0.8852456610338364,-0.8735071923488893,0.00154697073407804,0.0393315488390432,0.04443009502369065,2.220446049250313e-16,0.016755296053102442,-0.9999999999999993,-0.668143673241102,-0.9629897611292657,-0.8208771213772512
29,ngtdm,Coarseness,ngtdm.Coarseness,0.6789833822091886,318,0.025987810599982744,0.02182483782537907,0.00020575053750957574,0.014344007024174791,0.5519513453812964,0.007490726053532923,0.017042092580139823,0.00573175391669851,0.09329705114677626,0.00889701845572968,0.05152057908610296
30,glcm,JointEnergy,glcm.JointEnergy,0.6350602802215705,318,0.13672366352201262,0.10416666666666669,0.0038552477622090485,0.06209064150263748,0.4541323711139501,0.0,0.018750000000000003,0.10416666666666669,0.4375,0.10416666666666669,0.2916666666666667
31,glszm,ZoneEntropy,glszm.ZoneEntropy,0.630987292277615,318,2.9862948237054683,3.1699250014423086,0.08588712336165573,0.2930650497102234,0.09813667672188543,0.0,0.22222222222222188,1.9219280948873612,3.1699250014423086,2.321928094887361,3.1699250014423086
32,gldm,DependenceVariance,gldm.DependenceVariance,0.6301075268817204,318,0.008742429536454693,0.0,0.0014478041319101105,0.03805002144427925,4.352339505353294,0.0,0.0,0.0,0.1875,0.0,0.025925925925921994
33,glcm,MaximumProbability,glcm.MaximumProbability,0.627109807754969,318,0.13804376310272537,0.10416666666666666,0.0038373989068248805,0.061946742503741714,0.4487471299782229,0.0,0.03125,0.10416666666666666,0.4375,0.10416666666666666,0.29166666666666663
